Περιοχή,Δείγματα
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,ΤΕΛΟΣ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ 
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ 
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,ΤΕΛΟΣ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
